,Title,Genre,Duration,Rating,voting
96,Daye: Seret ahl el Daye,adventure,1h 44m,7.5, 350
97,Hanu Man,adventure,2h 38m,7.7, 30K
98,Heavier Trip,adventure,1h 36m,6.1, 2K
99,Captain Miller,adventure,2h 37m,7.1, 14K
100,"I, the Executioner",adventure,1h 58m,6.3, 2.5K
101,A.R.M,adventure,2h 30m,7.1, 10K
102,The Empire,adventure,1h 50m,5.2, 1.5K
103,Kanguva,adventure,2h 32m,4.5, 16K
104,Meanwhile on Earth,adventure,1h 29m,5.8, 1.3K
105,Sunray: Fallen Soldier,adventure,1h 55m,4.4, 882
106,Son's Will,adventure,2h 28m,7.3, 1.3K
107,Man and Witch: The Dance of a Thousand Steps,adventure,1h 34m,5.6, 412
108,Major Grom: The Game,adventure,2h 48m,6.2, 2K
109,Thelma the Unicorn,adventure,1h 33m,5.7, 3.3K
110,A Legend,adventure,2h 9m,4.7, 1.3K
111,School of Magical Animals 3,adventure,1h 45m,5.7, 515
112,Operation: Raqqa,adventure,1h 47m,5.6, 583
113,Legend of the White Dragon,adventure,1h 30m,7.9, 54
114,Woody Woodpecker Goes to Camp,adventure,1h 40m,4.5, 2.9K
115,Hitpig,adventure,1h 26m,5.2, 1.3K
116,The Tiger's Apprentice,adventure,1h 24m,5.8, 2.4K
117,Golden Kamuy,adventure,2h 7m,6.3, 2.9K
118,The Price of Money: A Largo Winch Adventure,adventure,1h 40m,5.1, 1.6K
119,This Too Shall Pass,adventure,1h 45m,7.4, 85
120,Ayalaan,adventure,2h 35m,5.9, 4.4K
121,Thangalaan,adventure,2h 36m,6.5, 7.2K
122,Rally Caps,adventure,1h 40m,5.3, 199
123,Autumn and the Black Jaguar,adventure,1h 40m,5.7, 1.3K
124,The Kingdom,adventure,2h 13m,5.8, 258
125,Bade Miyan Chote Miyan,adventure,2h 43m,3.7, 41K
126,The Twisters,adventure,1h 26m,2.6, 562
127,The Lost Tiger,adventure,1h 30m,5.1, 135
128,Roadkill,adventure,1h 30m,3.7, 760
129,Cells at Work!,adventure,1h 49m,6.7, 1.5K
130,200% Wolf,adventure,1h 38m,5.7, 1.5K
131,Operation Blood Hunt,adventure,1h 33m,3.4, 686
132,Doraemon the Movie: Nobita's Earth Symphony,adventure,1h 55m,6.6, 1.9K
133,Witch Hunter,adventure,1h 20m,2.8, 152
134,The Last Redemption,adventure,2h 1m,6.6, 7.8K
135,The Backrooms,adventure,1h 3m,7.9, 37
136,Saint-Exupéry,adventure,1h 38m,5.3, 940
137,The Magician's Raincoat,adventure,1h 29m,5.1, 193
138,Taklee Genesis x Worlds Collide,adventure,2h 26m,5.3, 543
139,Z-Mom,adventure,1h 30m,4.9, 48
140,The Royal Cat,adventure,1h 37m,5.5, 76
141,Noah's Ark,adventure,1h 30m,4.3, 759
142,Rebellious,adventure,1h 34m,6.1, 298
143,Empire Queen: The Golden Age of Magic,adventure,2h 28m,3.5, 374
144,The Last Ronin,adventure,1h 55m,4.9, 710
145,The Green Dinosaur,adventure,1h 33m,6.2, 314
146,Buddy,adventure,2h 17m,3.8, 381
147,The Mountain,adventure,1h 29m,6.3, 294
148,A Sloth Story,adventure,1h 30m,5.6, 383
149,The Goat,adventure,1h 31m,5.5, 406
150,At Her Feet,adventure,1h 40m,7.4, 89
151,My Oni Girl,adventure,1h 52m,6.0, 2.2K
152,Bambi: A Tale of Life in the Woods,adventure,1h 18m,5.6, 436
153,Bionic,adventure,1h 50m,4.3, 1.8K
154,Eat the Night,adventure,1h 46m,6.1, 738
155,The Proud Princess,adventure,1h 24m,6.2, 241
156,The Keepers of the 5 Kingdoms,adventure,1h 49m,4.1, 260
157,No Chains No Masters,adventure,1h 38m,6.3, 862
158,Unspeakable: Beyond the Wall of Sleep,adventure,1h 30m,3.5, 182
159,The Epic of Gilgamesh,adventure,1h 19m,N/A,N/A
160,Kvitebjørn,adventure,1h 25m,6.1, 153
161,Panda Bear in Africa,adventure,1h 24m,5.5, 465
162,No Time to Spy: A Loud House Movie,adventure,1h 21m,6.3, 578
163,Planetquake,adventure,1h 25m,3.1, 388
164,Angelo dans la forêt mystérieuse,adventure,1h 21m,6.2, 291
165,Elli and Her Monster Team,adventure,1h 26m,4.9, 145
166,Vertical,adventure,1h 51m,4.9, 167
167,Road Wars: Max Fury,adventure,1h 23m,2.1, 383
168,Five Friends,adventure,1h 52m,6.7, 1.1K
169,Storm Crashers,adventure,1h 28m,6.0, 652
170,The Primrose Railway Children,adventure,1h 21m,5.1, 174
171,The Firing Squad,adventure,1h 33m,5.0, 5.1K
172,Big City Greens the Movie: Spacecation,adventure,1h 23m,6.2, 667
173,Crayon Shin-chan: Our Dinosaur Diary,adventure,1h 46m,6.6, 827
174,Lumina,adventure,1h 53m,3.9, 10K
175,Now or Never!,adventure,2h 15m,2.3, 17K
176,Mobile Suit Gundam SEED Freedom,adventure,2h 4m,6.5, 1.1K
177,Seven Seas Seven Hills,adventure,1h 30m,7.1, 115
178,Guest from the Future,adventure,2h 21m,6.0, 1.4K
179,Pimpinero: Blood and Oil,adventure,2h 1m,5.6, 633
180,The Casagrandes Movie,adventure,1h 29m,5.6, 763
181,Death Game,adventure,1h 28m,7.3, 92
182,War of the Worlds: Extinction,adventure,1h 24m,2.9, 251
183,My Freaky Family,adventure,1h 26m,6.0, 491
184,WWII: Operation Phoenix,adventure,1h 46m,3.9, 144
185,Gladiators,adventure,1h 35m,3.3, 150
186,Naa Saami Ranga,adventure,2h 30m,4.5, 1.3K
187,Spiders on a Plane,adventure,1h 18m,3.6, 591
188,All for One,adventure,1h 37m,1.6, 734
189,Devil's Knight,adventure,1h 30m,4.7, 1.1K
190,Its Name Was Mormo,adventure,1h 33m,3.6, 263
191,Birds Flying East,adventure,1h 40m,5.8, 655
192,Earthquake Underground,adventure,1h 23m,3.2, 309
193,My Fathers' Daughter,adventure,1h 18m,6.2, 108
194,Joachim and the Apocalypse,adventure,1h 30m,5.5, 62
195,Chuck Billy and the Marvelous Guava Tree,adventure,1h 30m,7.3, 1.5K
196,"Maya, Give Me a Title",adventure,1h 1m,6.4, 116
197,Gracie and Pedro: Pets to the Rescue,adventure,1h 27m,5.0, 344
