,Title,Genre,Duration,Rating,voting
224,Petra Kelly - Act Now!,biography,1h 44m,7.6, 63
225,Blake Edwards: A Love Story in 24 Frames,biography,N/A,7.5, 92
226,MatPat the Movie,biography,N/A,9.0, 28
227,Alí Primera,biography,2h,7.0, 12
228,Lost Nation,biography,N/A,7.2, 13
229,Vivekam,biography,1h 44m,8.0, 311
230,Born to Be Wild: The Story of Steppenwolf,biography,1h 40m,7.1, 76
231,Mit einem Tiger schlafen,biography,1h 47m,6.8, 164
232,Longe da Estrada,biography,1h 46m,6.4, 46
233,Pastor's Kid,biography,1h 30m,5.9, 54
234,Giannis in the Cities,biography,1h 30m,7.2, 37
235,Legend of the Lizard,biography,N/A,N/A,N/A
236,Diane von Furstenberg: Woman in Charge,biography,1h 37m,7.2, 355
237,Harta Tahta Raisa,biography,1h 50m,4.1, 73
238,The Truth: The Journey Within,biography,1h 31m,6.3, 10
239,Gold,biography,2h 6m,7.8, 91
240,Concepción,biography,2h 20m,7.8, 33
241,Sube a mi Nube,biography,1h 50m,6.0, 69
242,"Siggi - drengen, der blev FBI-spion",biography,1h 30m,6.6, 168
243,"François Truffaut, le scénario de ma vie",biography,1h 38m,7.0, 66
244,Memoir Seorang Guru,biography,2h,7.1, 150
245,Nollbudget,biography,1h 12m,8.5, 12
246,You Are Always Right Here,biography,N/A,N/A,N/A
247,Un hombre libre,biography,1h 28m,7.1, 49
248,Dr. Hedgewar,biography,2h 40m,7.1, 18
249,Can You Say... Looking?,biography,1h 29m,N/A,N/A
250,Hyper: The Stevie Hyper D Story,biography,1h 31m,8.8, 33
251,Don't Ever Stop,biography,1h 25m,9.2, 40
252,The Movie Man,biography,1h 29m,7.7, 251
253,"Sean Penn, L'enfant terrible de l'Amérique",biography,52m,7.0, 77
254,Daytime Revolution,biography,1h 48m,6.8, 130
255,Hawala,biography,N/A,9.4, 215
256,Misty - The Erroll Garner Story,biography,1h 40m,7.3, 58
257,Ett hjärta är alltid rött,biography,1h 43m,7.1, 424
258,Padu,biography,1h 37m,5.3, 90
259,Basketball Jones: The First Chapter,biography,N/A,7.6, 12
260,The West Sky,biography,N/A,5.1, 172
261,Cartas Telepáticas,biography,1h 10m,4.9, 40
262,MAGA 1909,biography,1h 1m,N/A,N/A
263,30 to 45,biography,1h 58m,3.1, 29
264,Charmian Clift: Life Burns High,biography,1h 20m,7.1, 19
265,COMA,biography,1h 20m,8.1, 15
266,Son Sarki: Ahmet'in Türküsü,biography,1h 41m,1.6, 118
267,No More Trouble - Cosa rimane di una tempesta,biography,1h 37m,8.5, 24
268,Ruki vverkh!,biography,1h 42m,5.5, 295
269,Ray of Hope,biography,1h 45m,7.4, 13
270,Bröderna Andersson,biography,1h 24m,7.2, 157
271,Harimau Malaya: The Untold Journey,biography,2h 5m,8.0, 28
272,Comrade Yuri,biography,N/A,N/A,N/A
273,Ismo - maailman hauskin ulkopuolinen,biography,1h 38m,7.1, 351
274,Parviz Khan,biography,1h 50m,5.9, 246
275,Ago,biography,1h 20m,8.0, 9
276,Spyral,biography,1h 23m,8.8, 25
277,Gulag Eros of the Russian Mind,biography,56m,N/A,N/A
278,Ninety Minutes Later,biography,1h 28m,7.5, 14
279,Beethoven's Nine: Ode to Humanity,biography,1h 25m,6.9, 30
280,Lafran,biography,1h 39m,8.4, 20
281,Yaremchuk: Nezrivniannyi svit krasy,biography,1h 32m,8.6, 547
282,Glenn Fredly: The Movie,biography,2h 1m,6.6, 144
283,Que notre joie demeure,biography,1h 48m,N/A,N/A
284,Butterfly,biography,N/A,N/A,N/A
285,Citizen Glenn,biography,55m,8.5, 107
286,Who Killed Lawrence of Arabia?,biography,1h 40m,6.0, 38
287,The Legend of Sudarshan Chakra,biography,2h 40m,9.0, 31
288,Kai Jones' Falling into Place,biography,59m,8.3, 17
289,Main Mulayam Singh Yadav,biography,2h,3.8, 211
290,Barnen från Camp Ashraf,biography,1h 28m,5.6, 23
291,A nuestros amigos,biography,1h 30m,7.5, 18
292,Light Blue,biography,N/A,4.3, 144
293,Maria,biography,1h,4.2, 22
294,Giroud,biography,1h 20m,6.7, 38
295,"Marisol, llámame Pepa",biography,1h 27m,6.8, 132
296,Luiz Melodia: No Coração do Brasil,biography,1h 15m,7.6, 43
297,Eleonora Abbagnato - Una stella che danza,biography,N/A,N/A,N/A
298,Tejaswini (Odia),biography,1h 35m,N/A,N/A
299,"Mary, Marianna, Maria: Ta agnosta ellinika hronia tis Kallas",biography,1h 43m,7.7, 20
300,"Lupicinio Rodrigues, Confissões de um Sofredor",biography,1h 39m,7.4, 14
301,Kylie Minogue: Pop Icon,biography,50m,5.6, 17
302,The Man Died,biography,1h 45m,2.5, 24
303,Fly by Night,biography,N/A,8.6, 17
304,O familie aproape perfecta,biography,1h 28m,5.9, 24
