,Title,Genre,Duration,Rating,voting
41,Woodwalkers,fantasy,1h 43m,5.0, 1.1K
42,Spellbound,fantasy,1h 49m,5.5, 8.8K
43,Dear Santa,fantasy,1h 47m,5.4, 22K
44,Harold and the Purple Crayon,fantasy,1h 30m,5.7, 9.9K
45,Irish Wish,fantasy,1h 33m,5.3, 23K
46,Pedro Páramo,fantasy,2h 10m,6.3, 3.5K
47,Witchy Ways,fantasy,1h 38m,5.5, 168
48,Happyend,fantasy,1h 53m,6.8, 1.9K
49,Hot Frosty,fantasy,1h 32m,5.3, 16K
50,Timestalker,fantasy,1h 29m,5.5, 3.5K
51,Justice League: Crisis on Infinite Earths - Part Three,fantasy,1h 34m,6.1, 5.6K
52,Wynonna Earp: Vengeance,fantasy,1h 36m,5.5, 1.9K
53,Dragonkeeper,fantasy,1h 38m,5.8, 2.2K
54,Ultraman: Rising,fantasy,1h 57m,6.9, 7.3K
55,The American Society of Magical Negroes,fantasy,1h 44m,3.8, 13K
56,The Thundermans Return,fantasy,1h 10m,5.0, 2.1K
57,The Best Christmas Pageant Ever,fantasy,1h 39m,6.8, 8.4K
58,Else,fantasy,1h 42m,5.4, 827
59,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,fantasy,1h 44m,7.3, 11K
60,Family Pack,fantasy,1h 34m,5.5, 11K
61,The Balconettes,fantasy,1h 44m,5.8, 2.6K
62,Buffalo Kids,fantasy,1h 21m,6.6, 1K
63,The Traveller,fantasy,2h 14m,5.3, 282
64,Kang Mak,fantasy,2h 2m,6.4, 1.1K
65,Assassin's Guild,fantasy,1h 43m,2.9, 205
66,Overlord: The Sacred Kingdom,fantasy,2h 15m,6.9, 2K
67,Robin and the Hoods,fantasy,1h 40m,4.3, 627
68,Dan Da Dan: First Encounter,fantasy,1h 23m,8.2, 3.8K
69,Angels Fallen: Warriors of Peace,fantasy,1h 43m,3.7, 6.6K
70,Justice League: Crisis on Infinite Earths - Part Two,fantasy,1h 34m,5.6, 6.4K
71,Saving Bikini Bottom: The Sandy Cheeks Movie,fantasy,1h 22m,3.6, 4.6K
72,Night of the Zoopocalypse,fantasy,1h 31m,6.0, 1.8K
73,Hiçbir Sey Normal Degil,fantasy,1h 11m,6.1, 176
74,That Christmas,fantasy,1h 31m,6.8, 20K
75,Justice League: Crisis on Infinite Earths - Part One,fantasy,1h 33m,6.2, 9.7K
76,Shrek 5: The Contract - A Fan Made Film,fantasy,1h 24m,7.3, 34
77,Hanu Man,fantasy,2h 38m,7.7, 30K
78,Arthur's Whisky,fantasy,1h 34m,4.9, 1.3K
79,Hagen,fantasy,2h 19m,6.0, 1.7K
80,Cinderella's Revenge,fantasy,1h 25m,3.8, 1.4K
81,A.R.M,fantasy,2h 30m,7.1, 10K
82,Tim Travers & the Time Travelers Paradox,fantasy,1h 35m,5.4, 828
83,Alienoid: The Return to the Future,fantasy,2h 2m,6.5, 3.2K
84,Kanguva,fantasy,2h 32m,4.5, 16K
85,Man and Witch: The Dance of a Thousand Steps,fantasy,1h 34m,5.6, 412
86,Nie Xiaoqian,fantasy,1h 52m,6.5, 26
87,A Dog's Will 2,fantasy,1h 44m,6.1, 3.6K
88,Thelma the Unicorn,fantasy,1h 33m,5.7, 3.3K
89,This Is Me... Now,fantasy,1h 5m,4.1, 7.4K
90,School of Magical Animals 3,fantasy,1h 45m,5.7, 515
91,Legend of the White Dragon,fantasy,1h 30m,7.9, 54
92,Woody Woodpecker Goes to Camp,fantasy,1h 40m,4.5, 2.9K
93,Bhool Bhulaiyaa 3,fantasy,2h 38m,4.6, 79K
94,The Tiger's Apprentice,fantasy,1h 24m,5.8, 2.4K
95,Pechi,fantasy,1h 50m,5.5, 1.7K
96,The Mouse Trap,fantasy,1h 20m,2.4, 4.2K
97,The Witch: Revenge,fantasy,1h 40m,5.3, 1K
98,Mars,fantasy,1h 24m,7.3, 45
99,Natural Phenomena,fantasy,1h 20m,6.9, 42
100,10 Lives,fantasy,1h 28m,6.0, 2.5K
101,Thangalaan,fantasy,2h 36m,6.5, 7.2K
102,White Snake: Afloat,fantasy,2h 13m,6.9, 779
103,The Lost Tiger,fantasy,1h 30m,5.1, 135
104,Vadakkan,fantasy,1h 52m,6.1, 6.1K
105,Cells at Work!,fantasy,1h 49m,6.7, 1.5K
106,200% Wolf,fantasy,1h 38m,5.7, 1.5K
107,Fluxx,fantasy,1h 40m,4.0, 321
108,Cinderella's Curse,fantasy,1h 22m,3.4, 1.6K
109,Exorcism Chronicles: The Beginning,fantasy,1h 25m,6.2, 338
110,Doraemon the Movie: Nobita's Earth Symphony,fantasy,1h 55m,6.6, 1.9K
111,Harry Potter and the Stone,fantasy,2h 32m,7.7, 234
112,Super-Charlie,fantasy,1h 22m,5.7, 381
113,Witch Hunter,fantasy,1h 20m,2.8, 152
114,Ryan's World the Movie: Titan Universe Adventure,fantasy,1h 20m,1.8, 840
115,The Last Redemption,fantasy,2h 1m,6.6, 7.8K
116,The Sleeping Woman,fantasy,1h 50m,5.2, 698
117,The Sand Castle,fantasy,1h 38m,4.7, 1.9K
118,Mononoke the Movie: The Phantom in the Rain,fantasy,1h 29m,6.8, 1.9K
119,Kuttante Shinigami,fantasy,1h 52m,5.2, 66
120,A Fisherman's Tale,fantasy,1h 43m,5.3, 408
121,Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',fantasy,1h 30m,8.8, 1.7K
122,The Night Before Christmas in Wonderland,fantasy,1h 20m,6.3, 677
123,The Magician's Raincoat,fantasy,1h 29m,5.1, 193
124,The Devil's Disciples,fantasy,1h 19m,3.9, 654
125,River Returns,fantasy,1h 49m,7.1, 81
126,Oshi no Ko: The Final Act,fantasy,2h 9m,6.2, 255
